"bill_id","term","session","title","keywords","long_title","summary","commem"
"HB23-1011","2023_2024","2023-RS","Consumer Right To Repair Agricultural Equipment","Agriculture
Business & Economic Development","Concerning a requirement that an agricultural equipment manufacturer facilitate the repair of its equipment by providing certain other persons with the resources needed to repair the manufacturer's agricultural equipment.","Usually, an owner of agricultural equipment must seek diagnostic, maintenance, or repair services of the equipment from the agricultural equipment manufacturer (manufacturer). Starting January 1, 2024, the act requires a manufacturer to provide parts, embedded software, firmware, tools, or documentation, such as diagnostic, maintenance, or repair manuals, diagrams, or similar information (resources), to independent repair providers and owners of the manufacturer's agricultural equipment to allow an independent repair provider or owner to conduct diagnostic, maintenance, or repair services on the owner's agricultural equipment. A manufacturer's failure to comply with the requirement to provide resources is a deceptive trade practice. The act folds agricultural equipment into the existing consumer right-to-repair statutes and adds data to the list of resources that a manufacturer must provide to independent repair providers or owners. An independent repair provider or owner is not authorized to make any modifications to agricultural equipment that deactivates a safety notification system or brings the equipment out of compliance with safety or emissions laws or to engage in any conduct that would evade emissions, copyright, trademark, or patent laws. If an agricultural equipment manufacturer enters into a nationwide memorandum of understanding regarding right-to-repair agricultural equipment, the manufacturer is still obligated to meet the requirements of this act. If Congress enacts federal legislation regarding the right to repair agricultural equipment, this act will be repealed. APPROVED by Governor April 25, 2023 EFFECTIVE January 1, 2024 NOTE: This act was passed without a safety clause. (Note: This summary applies to this bill as enacted.)",0
"HB23-1012","2023_2024","2023-RS","Juvenile Competency To Proceed","Courts & Judicial","Concerning issues related to juvenile competency to proceed, and, in connection therewith, making an appropriation.","The act addresses issues related to a determination of juvenile competency to proceed (competency) and restoration of competency (restoration). The act allows: The district attorney, defense attorney, guardian ad litem, department of human services, a competency evaluator, a restoration treatment provider, and the court, without written consent of the juvenile or further order of the court, to access competency evaluations and restoration evaluations, including all second evaluations; information and documents related to competency evaluations; the competency evaluator, for the purpose of discussing the competency evaluation; and the providers of court-ordered restoration services for the purpose of discussing such services; Parties to exchange names, addresses, reports, and statements of physicians or psychologists who examined or treated the juvenile for competency; The court or any party to raise, at any time, the issue of a need for a restoration evaluation of the juvenile's competency; and A juvenile to be examined by a competency evaluator of the juvenile's own choice and to request a second evaluation in response to a court-ordered competency evaluation or a court-ordered restoration evaluation. If the court determines that the juvenile is incompetent to proceed and unlikely to be restored to competency in the reasonably foreseeable future, a time frame is set forth for the dismissal of charges based on the severity and type of charge. For the 2023-24 state fiscal year, $120,000 is appropriated to the judicial department from the general fund. The judicial department may use this appropriation for mandated costs for the office of the state public offender and the office of the alternate defense counsel. APPROVED by Governor June 5, 2023 EFFECTIVE August 7, 2023 (Note: This summary applies to this bill as enacted.)",0
"HB23-1013","2023_2024","2023-RS","Use Of Restrictive Practices In Prisons","Crimes, Corrections, & Enforcement","Concerning measures to regulate the use of restrictive practices on individuals in correctional facilities, and, in connection therewith, making an appropriation.","The act requires the department of corrections (department), by July 1, 2027, to implement policies and practices that conform to nationally recognized minimum standards concerning restraint and seclusion standards of inmates. The act requires the department to uniformly document restraint incidents. The act requires certain facilities to perform an evaluation of every individual at intake to assess the individual's risk of self-harm behaviors and whether the individual has previously been subjected to four-point restraints. The act prohibits the use of an involuntary medication on an individual, unless: The individual is determined to be dangerous to the individual's self or another person and the treatment is in the individual's medical interest; All less restrictive alternative interventions have been exhausted; and The involuntary medication is administered after exhaustion of procedural requirements, including majority approval by an involuntary medication committee comprised of medical professionals and the superintendent of the facility. The act requires the department to submit an annual report to the judiciary committees of the senate and house of representatives with data concerning the use of restraints and involuntary medication in the preceding calendar year, and present the findings at the department's annual ""SMART Act"" hearing. The act requires the department to include specific data concerning the placement of individuals in settings with heightened restrictions in its annual administrative segregation report. For the 2023-24 state fiscal year, the act appropriates $18,872 to the from the general fund, of which $12,000 is reappropriated to the office of information technology. APPROVED by Governor June 5, 2023 EFFECTIVE June 5, 2023 (Note: This summary applies to this bill as enacted.)",0
"HB23-1014","2023_2024","2023-RS","Yield To Larger Vehicles In Roundabouts","Transportation & Motor Vehicles","Concerning yielding to larger vehicles in roundabouts.","The act requires a driver to yield the right-of-way to a driver of a truck, bus, emergency vehicle, or recreational vehicle that generally has a total length of more than 35 feet or a total width of more than 10 feet (large vehicle) when entering, exiting, or driving in the circulatory lanes in a roundabout. The act also requires that when 2 drivers of large vehicles enter, exit, or drive in the circulatory lanes in a roundabout at the same time, the driver on the right must yield the right-of-way to the driver on the left. A person who fails to yield commits a class A traffic infraction and is subject to a fine of $70 and an $11 surcharge. APPROVED by Governor March 23, 2023 EFFECTIVE October 1, 2023 NOTE: This act was passed without a safety clause. (Note: This summary applies to this bill as enacted.)",0
"HB23-1015","2023_2024","2023-RS","Taxation Tobacco Products Remote Retail Sellers","Fiscal Policy & Taxes","Concerning the taxation of tobacco products.","The act categorizes the remote sales of certain kinds of tobacco products for purposes of establishing the regulation and taxation of the sales. The act exempts transactions involving the sale of cigars or pipe tobacco from the definition of ""delivery sale"" and instead creates and defines the term ""remote retail sale"" to include these transactions. The act also resolves an ambiguity about how the ""manufacturer's list price"" of a tobacco product is determined for both ""delivery sales"" and ""remote retail sales"". APPROVED by Governor May 1, 2023 EFFECTIVE January 1, 2024 NOTE: This act was passed without a safety clause. (Note: This summary applies to this bill as enacted.)",0
"HB23-1016","2023_2024","2023-RS","Temp Tax Credit For Public Service Retirees","Fiscal Policy & Taxes
State Government","Concerning the creation of an income tax credit for qualifying retirees of Colorado public pensions.","Pension Review Commission. The bill creates an income tax credit that is available for income tax years commencing on or after January 1, 2023, but prior to January 1, 2025, for a qualifying public service retiree, which means a full-time Colorado resident individual who is: 55 years of age or older at the end of the 2023 or 2024 income tax year; and A retiree of a Colorado public pension plan administered pursuant to the Colorado Revised Statutes or a retiree of a public pension plan administered by a local government of the state of Colorado.(Note: This summary applies to this bill as introduced.)",0
"HB23-1017","2023_2024","2023-RS","Electronic Sales And Use Tax Simplification System","Fiscal Policy & Taxes","Concerning improvements to the electronic sales and use tax simplification system, and, in connection therewith, making an appropriation.","As part of an effort to simplify the sales and use tax system, the department of revenue (department) created the electronic sales and use tax simplification system (SUTS), which is a one-stop portal designed to facilitate the collection and remittance of sales and use tax. As soon as possible, but no later than January 1, 2025, the act requires the department to modify SUTS: To populate a local account number on all returns and summary reports, if the retailer filing the return has a number and provides the number in SUTS; By developing a simplified user interface for filing returns as an alternative to the current spreadsheet method; To provide retailers with a bulk testing option for address files; and To include additional use taxes, additional information about deductions, filtering options, and certain tabs. With the exception of charges for payments by credit cards, the act prohibits the department from imposing a convenience fee or any other type of charge for a payment through SUTS and from passing those charges on to local taxing jurisdictions. The act also requires the department to: Create a campaign to promote SUTS for the purpose of increasing the awareness, participation, and compliance by retailers and local taxing jurisdictions; and Solicit and consider feedback from interested stakeholders about enhancements to SUTS that lead to greater local taxing jurisdiction participation and greater compliance by retailers. APPROVED by Governor June 5, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1018","2023_2024","2023-RS","Timber Industry Incentives","Fiscal Policy & Taxes
Labor & Employment
Natural Resources & Environment
State Government
State Revenue & Budget","Concerning incentives to promote the timber industry in Colorado, and, in connection therewith, creating an internship program in the Colorado state forest service and creating a state income tax credit for the purchase of qualifying items used in timber production and forest health.","Wildfire Matters Review Committee. The bill creates the timber, forest health, and wildfire mitigation industries workforce development program (program) in the state forest service. The program provides partial reimbursement to timber businesses and forest health or wildfire mitigation entities for the costs of hiring interns. The forest service must adopt rules, policies, and procedures for the program, including criteria for an internship to qualify, best practices for recruiting and selecting interns to increase representation of historically underrrepresented communities in the industries, the criteria to use in selecting qualified interns, the required educational experience for an intern, and administrative requirements for the program. For income tax years beginning on or after January 1, 2023, but before January 1, 2028, a business involved in forestry, logging, the timber trade, the production of wood and secondary products, or forest health and wildfire mitigation activities in Colorado may claim a credit against state income tax for 20% of the cost incurred by the taxpayer in purchasing certain equipment, vehicles, and equipment infrastructure. The total aggregate credit in any one income tax year is limited to $10,000. Any amount of the credit that exceeds the taxpayer's income tax liability is not refundable but may be carried forward for up to 5 years. (Note: This summary applies to this bill as introduced.)",0
"HB23-1019","2023_2024","2023-RS","Judicial Discipline Procedures And Reporting","Courts & Judicial","Concerning judicial discipline, and, in connection therewith, ensuring complainant rights in judicial discipline proceedings and making an appropriation.","The act requires the supreme court to select members of the commission on judicial discipline (commission) who are district and county judges from nominee pools created by the state court administrator. Upon a vacancy of a district judge or county judge member, the state court administrator shall create a nominee pool of 10 district or county judges, as appropriate. When making its selection, the supreme court shall ensure that the commission does not include more than one district judge from any one judicial district and not more than one county judge from any one county. The office of judicial performance evaluation, the judicial nominating commissions, the office of the presiding disciplinary judge, and the office of attorney regulation counsel (judicial oversight entities) are required to provide requested material to the commission within 14 calendar days after the request, and a judicial oversight entity may not withhold requested material through a claim of privilege or confidentiality. A provision in a contract entered into after the effective date of the act that prohibits a judicial oversight entity from disclosing information to the commission is void as against public policy and is unenforceable. The rule-making committee that is established in the constitution to propose rules for the judicial discipline process shall provide the commission and judicial discipline adjudicative board (board) with reasonable notice before proposing any new rule or amendment and requires the committee to post notice of each rule change and allow for public comment concerning proposed changes. Current law requires the commission to maintain annual data and statistics related to its work and judicial misconduct allegations. The act requires the commission to maintain additional information and requires the commission to include the data and information in its annual report and make the data and information available online in a searchable format. The act permits a person to submit a request for evaluation of judicial misconduct by mail or online and to submit a confidential or anonymous request for evaluation. The office of judicial discipline (office) is required to develop an online request for evaluation form that is accessible from the commission's public website. The office shall provide complainants with information about the judicial discipline process, the status of the complainant's request, and any subsequent investigation and disciplinary or adjudicative process. The act requires a judge member of a board panel hearing a judicial discipline proceeding to provide administrative staff support for the panel. The act repeals the statute establishing the legislative interim committee on judicial discipline and statutory provisions concerning the confidentiality of judicial discipline investigation records, including repealing the penalty for disclosing confidential information. The portions of the act concerning the selection of judge members of the commission, the board, and judicial discipline rule-making take effect only if House Concurrent Resolution 23-1001 is approved by the people at the general election to be held November 2024. The act appropriates $126,986 to the judicial department for use by the commission for the office. APPROVED by Governor June 5, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die; except that portions of the act shall take effect only if House Concurrent Resolution 23-1001 is approved by the people at the general election to be held November 2024 and will take effect on the date of the official declaration of the vote on said Concurrent Resolution 23-1001 by the governor; except that, if a referendum petition is filed pursuant to this act, then the act or section will not take effect unless approved by the people at the general election to be held in November 2024 and, in such case, will take effect on the date of the official declaration of the vote thereon by the governor. (Note: This summary applies to this bill as enacted.)",0
"HB23-1020","2023_2024","2023-RS","Social Equity Licenses In Regulated Marijuana","Liquor, Tobacco, & Marijuana","Concerning social equity licenses in the regulated marijuana business, and, in connection therewith, making an appropriation.","The bill creates an independent delivery license for social equity licensees to deliver and sell retail marijuana and retail marijuana products to consumers at the consumer's private residence and requires the department of revenue to promulgate rules concerning the independent delivery license. The bill creates an accelerator independent delivery license, accelerator hospitality business license, and accelerator transporter license, and accelerator retail deliverer permittee for social equity licensees qualified to participate in the accelerator program. The bill requires the department of revenue to provide an annual report to the finance committees of the house of representatives and the senate concerning active social equity licenses, any recommendations for new social equity licenses and permits, and any recommendations for new or innovating funding sources for the social equity licensees or permittees. Effective January 2, March 1, 2024, the bill amends the eligibility requirements for a person to qualify as a social equity licensee. The bill clarifies that the new eligibility requirements only apply to social equity licensee applications received on or after January 2, March 1, 2024. or to the reinstatement or reactivation of social equity licenses originally issued before January 2, 2024. The new eligibility requirements do not apply to the renewal of social equity licenses applied for or issued before January 2, March 1, 2024. The bill authorizes a social equity licensee who satisfies the eligibility requirements effective January 2, 2024, with a retail marijuana transporter licensee and a retail marijuana delivery permit or an accelerator retail deliverer permit, to exercise the privileges of a retail marijuana store license without needing to obtain a retail marijuana store license or accelerator store license. The bill requires permits the department of revenue to create incentives for social equity licensees and accelerator-endorsed licensees, including reducing or waiving fees. The bill requires the department of regulatory agencies, as part its sunset review of the ""Colorado Marijuana Code"" in 2028, to review social equity licensing and the independent delivery license. The bill creates, in the office of economic development, a grant committee that is responsible for reviewing grant applications, selecting grant recipients, and determining grant awards that are issued pursuant to an existing grant program for supporting entrepreneurs in the marijuana industry. The bill amends the statutory provision concerning retail marijuana sales tax to state that a retailer is not allowed to retain any portion of the retail marijuana sales tax collected to cover the expenses of collecting and remitting the tax. The bill appropriates $330,625 to the department of revenue, and $114,199 to the department of law. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",0
"HB23-1021","2023_2024","2023-RS","Embargo And Destroy Marijuana","Liquor, Tobacco, & Marijuana","Concerning the state licensing authority's ability to act regarding the movement of marijuana in certain circumstances to protect the public.","The act authorizes the executive director of the department of revenue (state licensing authority), pursuant to standards and processes that the state licensing authority establishes by rule, to: Issue an administrative hold on the movement of medical or retail marijuana pending an investigation; Embargo medical or retail marijuana when the state licensing authority finds objective and reasonable grounds to believe that the health, safety, or welfare of the public imperatively requires emergency action; and Order the destruction of embargoed medical or retail marijuana after notice and opportunity for a hearing. APPROVED by Governor March 23, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1022","2023_2024","2023-RS","Registration Of Vehicles In Rental Fleets","Transportation & Motor Vehicles","Concerning registration of fleet vehicles that are part of rental vehicle fleets, and, in connection therewith, making an appropriation.","A license plate expires when the owner transfers or assigns the title or interest in the associated motor vehicle and that the owner cannot transfer such a license plate to another motor vehicle. The act exempts license plates issued to the operator of a motor vehicle fleet (fleet operator) that are easily legible and in good condition from such expiration and allows a fleet operator to transfer license plates from one fleet vehicle to another when the fleet operator transfers or assigns the owner's title or interest in the fleet vehicle from which the number plates are being transferred. For state fiscal year 2023-24, the act appropriates $2,700 from the Colorado DRIVES vehicle services account in the highway users tax fund to the department of revenue. APPROVED by Governor April 24, 2023 EFFECTIVE January 1, 2024 NOTE: This act was passed without a safety clause. (Note: This summary applies to this bill as enacted.)",0
"HB23-1023","2023_2024","2023-RS","Special District Construction Contracts","Local Government","Concerning the dollar amount of a special district contract that requires notice for bids.","Public notice for bids on special district construction contracts is currently required when the contract cost is $60,000 or more. The act increases the notice threshold to $120,000 or more and requires the amount to be adjusted for inflation every 5 years. APPROVED by Governor March 17, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1024","2023_2024","2023-RS","Relative And Kin Placement Of A Child","Children & Domestic Matters
Human Services","Concerning measures to increase family resiliency through providing greater supports and protections for children placed with kin, including relatives, and, in connection therewith, making an appropriation.","The act establishes several measures that protect the best interests of a child or youth and that will not hinder reunification with the child's or youth's family when the child or youth has been temporarily placed outside the family home with a relative or kin (relative), including: Permitting a relative to appeal when denied placement of the child or youth with the relative; Requiring the department of human services (department), to use reasonable efforts to help a relative whose barrier to caring for the child or youth is a lack of resources; Amending the court's advisement to the parent so it is consistent with changes to statute; Specifying what information should be included in a notice to relatives when the child or youth has been removed from the child's or youth's home; Requiring that courts give preference to a relative unless placement with that relative would negatively affect the child's or youth's mental, physical, or emotional needs, or hinder reunification with the child's or youth's family; Providing options for a relative to be allowed to participate in a child's or youth's care and planning; Creating a rebuttable presumption that placement with a relative is in the child's or youth's best interest. The presumption may be rebutted by a preponderance of the evidence, giving primary consideration to the child's or youth's mental, physical, and emotional needs, including the child's or youth's preference regarding placement. Requiring that caseworkers inform the court of efforts to identify and place a child or youth with a relative. Foster parents who have the child or youth in their care for 12 months or more may intervene, as a matter of right, with or without counsel, following adjudication. The purpose of intervention is to provide knowledge or information concerning the care and protection of the child or youth, including the child's or youth's mental, physical, and emotional needs. For the 2023-24 state fiscal year: $13,879 is appropriated to the department of human services from the general fund for use by the division of child welfare for Colorado TRAILS for the implementation of this act; and The general assembly anticipates that the department of human services will receive $7,473 in federal funds for use by the division of child welfare to assist in the implementation of this act. APPROVED by Governor June 5, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1025","2023_2024","2023-RS","Charter School Application Timelines","Education & School Finance (Pre & K-12)","Concerning extension of charter school applications.","The act extends the timeline from 12 months to 18 months before a charter school is set to open for a prospective charter school to submit to the local board of education an application to become a charter school. The act allows a local board of education to apply to the state board of education for modifications to the timeline set forth in this act. The act creates an optional charter school application timeline for a rural or small rural school district that allows charter school applications outside of the 18-month timeline upon notice to the department of education and public notice on the school district's website. APPROVED by Governor April 25, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
